experiment,experiment_type,feature_set,holdout_size_P,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-6_sub-9_sub-11_sub-40_sub-55_sub-64,task_KNN_40_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.659400544959128,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-6_sub-9_sub-11_sub-40_sub-55_sub-64,task_KNN_40_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6856267029972752,0.8919249067763919
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-13_sub-29_sub-40_sub-45_sub-53,task_KNN_17_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7038397328881469,0.8678862443234887
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-13_sub-29_sub-40_sub-45_sub-53,task_KNN_17_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6397328881469115,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-13_sub-29_sub-40_sub-45_sub-53,task_KNN_17_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.679465776293823,0.8850848658571935
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-12_sub-28_sub-34_sub-41_sub-49_sub-50,task_KNN_8_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6878370281605752,0.892919950498274
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-12_sub-28_sub-34_sub-41_sub-49_sub-50,task_KNN_8_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6309167165967645,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-12_sub-28_sub-34_sub-41_sub-49_sub-50,task_KNN_8_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7091072498502097,0.8755292125317528
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-25_sub-28_sub-32_sub-42_sub-60_sub-61,task_KNN_22_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6112759643916914,0.8878784947276773
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-25_sub-28_sub-32_sub-42_sub-60_sub-61,task_KNN_22_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5723705901747445,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-25_sub-28_sub-32_sub-42_sub-60_sub-61,task_KNN_22_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6145730300032971,0.8693366869820386
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-11_sub-22_sub-23_sub-43_sub-64_sub-65,task_KNN_5_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6302066772655008,0.8952069646266869
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-11_sub-22_sub-23_sub-43_sub-64_sub-65,task_KNN_5_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6155802861685215,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-11_sub-22_sub-23_sub-43_sub-64_sub-65,task_KNN_5_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6394276629570748,0.879154665199521
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-20_sub-35_sub-37_sub-45_sub-53,task_KNN_27_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6429036458333334,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-20_sub-35_sub-37_sub-45_sub-53,task_KNN_27_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7239583333333334,0.8700761978561281
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-20_sub-35_sub-37_sub-45_sub-53,task_KNN_27_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6969401041666666,0.8898036936587885
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-15_sub-29_sub-31_sub-43_sub-44_sub-56,task_KNN_13_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5626128838049368,0.9006249593125447
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-15_sub-29_sub-31_sub-43_sub-44_sub-56,task_KNN_13_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.5605057194461168,0.8823318794349326
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-15_sub-29_sub-31_sub-43_sub-44_sub-56,task_KNN_13_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.555689343768814,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-33_sub-35_sub-38_sub-40_sub-61,task_KNN_19_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6875,0.8930045132172791
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-33_sub-35_sub-38_sub-40_sub-61,task_KNN_19_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.638558201058201,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-33_sub-35_sub-38_sub-40_sub-61,task_KNN_19_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7013888888888888,0.8744036105738233
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-11_sub-34_sub-45_sub-54_sub-64,task_KNN_32_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7590097148229396,0.8816970797005154
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-11_sub-34_sub-45_sub-54_sub-64,task_KNN_32_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7765590723911,0.8617638479240268
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-11_sub-34_sub-45_sub-54_sub-64,task_KNN_32_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.7104356001253526,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-25_sub-27_sub-41_sub-54_sub-63,task_KNN_35_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6687837408701175,0.8856449263634892
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-25_sub-27_sub-41_sub-54_sub-63,task_KNN_35_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6351222610352493,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-25_sub-27_sub-41_sub-54_sub-63,task_KNN_35_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6805335026992696,0.8683605761450073
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-18_sub-36_sub-39_sub-40_sub-55,task_KNN_45_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7463002114164905,0.896365470341327
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-18_sub-36_sub-39_sub-40_sub-55,task_KNN_45_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7656297191180912,0.8778186314385189
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-18_sub-36_sub-39_sub-40_sub-55,task_KNN_45_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.7003926306251888,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-22_sub-23_sub-24_sub-39_sub-40_sub-46,task_KNN_21_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7285669092059475,0.8735550302755561
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-22_sub-23_sub-24_sub-39_sub-40_sub-46,task_KNN_21_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6548560582094274,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-22_sub-23_sub-24_sub-39_sub-40_sub-46,task_KNN_21_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.713698196773173,0.8917851245021533
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-14_sub-26_sub-38_sub-42_sub-60,task_KNN_43_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.753650201926064,0.889213300892133
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-14_sub-26_sub-38_sub-42_sub-60,task_KNN_43_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6893445169307238,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-14_sub-26_sub-38_sub-42_sub-60,task_KNN_43_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7778813296054675,0.8693592862935928
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-13_sub-18_sub-48_sub-54_sub-60,task_KNN_41_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7814837905236908,0.8707355039564145
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-13_sub-18_sub-48_sub-54_sub-60,task_KNN_41_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6976309226932669,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-13_sub-18_sub-48_sub-54_sub-60,task_KNN_41_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7683915211970075,0.88529640679725
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-15_sub-24_sub-36_sub-39_sub-52_sub-59,task_KNN_12_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6125574272588055,0.8946684427694207
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-15_sub-24_sub-36_sub-39_sub-52_sub-59,task_KNN_12_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6049004594180705,0.874817245524546
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-15_sub-24_sub-36_sub-39_sub-52_sub-59,task_KNN_12_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.601531393568147,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-8_sub-16_sub-38_sub-61_sub-65,task_KNN_31_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6336045056320401,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-8_sub-16_sub-38_sub-61_sub-65,task_KNN_31_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6830413016270338,0.8675765041493776
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-8_sub-16_sub-38_sub-61_sub-65,task_KNN_31_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6620775969962454,0.8871563796680498
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-14_sub-27_sub-32_sub-45_sub-47_sub-62,task_KNN_10_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.7230046948356808,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-14_sub-27_sub-32_sub-45_sub-47_sub-62,task_KNN_10_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.821283255086072,0.8720217835262083
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-14_sub-27_sub-32_sub-45_sub-47_sub-62,task_KNN_10_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7902973395931142,0.8887808356834905
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-18_sub-33_sub-35_sub-41_sub-51_sub-55,task_KNN_16_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7894224529526281,0.8639622763387378
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-18_sub-33_sub-35_sub-41_sub-51_sub-55,task_KNN_16_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.7112264763140818,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-18_sub-33_sub-35_sub-41_sub-51_sub-55,task_KNN_16_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7709279688513953,0.8845035850397261
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-13_sub-18_sub-32_sub-44_sub-58_sub-65,task_KNN_9_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7140629872154661,0.8866945552420793
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-13_sub-18_sub-32_sub-44_sub-58_sub-65,task_KNN_9_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6598066729030246,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-13_sub-18_sub-32_sub-44_sub-58_sub-65,task_KNN_9_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.742126598066729,0.8661024094432014
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-6_sub-16_sub-32_sub-39_sub-46_sub-55,task_KNN_37_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.746810598626104,0.8684286959047343
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-6_sub-16_sub-32_sub-39_sub-46_sub-55,task_KNN_37_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6490022898266274,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-6_sub-16_sub-32_sub-39_sub-46_sub-55,task_KNN_37_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7222767419038273,0.8886952593022881
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-14_sub-26_sub-38_sub-41_sub-52,task_KNN_42_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.780209617755857,0.895551948051948
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-14_sub-26_sub-38_sub-41_sub-52,task_KNN_42_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.7022194821208385,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-7_sub-14_sub-26_sub-38_sub-41_sub-52,task_KNN_42_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.8051787916152897,0.8776623376623377
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-28_sub-35_sub-41_sub-49_sub-57,task_KNN_29_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.8180082723512567,0.8833694702436814
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-28_sub-35_sub-41_sub-49_sub-57,task_KNN_29_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.8456888323258034,0.8632730332351704
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-28_sub-35_sub-41_sub-49_sub-57,task_KNN_29_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.7448297804645243,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-5_sub-21_sub-39_sub-49_sub-58,task_KNN_30_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6926968068289598,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-5_sub-21_sub-39_sub-49_sub-58,task_KNN_30_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.8017704710717674,0.8763641073799424
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-5_sub-21_sub-39_sub-49_sub-58,task_KNN_30_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7669933607334809,0.8927495871247693
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-30_sub-36_sub-43_sub-46_sub-52,task_KNN_4_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5445121951219513,0.9047588089975296
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-30_sub-36_sub-43_sub-46_sub-52,task_KNN_4_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5475609756097561,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-30_sub-36_sub-43_sub-46_sub-52,task_KNN_4_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.538109756097561,0.8875633857755818
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-15_sub-24_sub-34_sub-41_sub-45_sub-58,task_KNN_11_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6837403216200119,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-15_sub-24_sub-34_sub-41_sub-45_sub-58,task_KNN_11_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7355568790946992,0.8646939972625953
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-15_sub-24_sub-34_sub-41_sub-45_sub-58,task_KNN_11_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.7290053603335319,0.8850941797562406
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-11_sub-23_sub-38_sub-43_sub-64,task_KNN_26_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6543808600064662,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-11_sub-23_sub-38_sub-43_sub-64,task_KNN_26_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6802457161332041,0.8808116054408581
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-4_sub-11_sub-23_sub-38_sub-43_sub-64,task_KNN_26_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6779825412221144,0.896255371393493
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-6_sub-11_sub-50_sub-59_sub-64,task_KNN_20_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.5846745976207138,0.8762265118963638
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-6_sub-11_sub-50_sub-59_sub-64,task_KNN_20_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.58222533240028,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-1_sub-6_sub-11_sub-50_sub-59_sub-64,task_KNN_20_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5843247025892232,0.8907201949592766
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-16_sub-26_sub-45_sub-53_sub-59,task_KNN_33_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6964342063742506,0.8999514170040486
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-16_sub-26_sub-45_sub-53_sub-59,task_KNN_33_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.7062164720732093,0.8846963562753036
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-5_sub-16_sub-26_sub-45_sub-53_sub-59,task_KNN_33_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.652571789207952,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-8_sub-10_sub-34_sub-37_sub-43_sub-60,task_KNN_47_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5731145653425446,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-8_sub-10_sub-34_sub-37_sub-43_sub-60,task_KNN_47_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6047783534830167,0.8799149492966961
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-8_sub-10_sub-34_sub-37_sub-43_sub-60,task_KNN_47_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.5987334484743811,0.8972849198560681
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-6_sub-11_sub-27_sub-47_sub-49_sub-52,task_KNN_36_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6988364134154689,0.8642118115802326
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-6_sub-11_sub-27_sub-47_sub-49_sub-52,task_KNN_36_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.6321013004791239,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-6_sub-11_sub-27_sub-47_sub-49_sub-52,task_KNN_36_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6666666666666666,0.8847439110597005
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-18_sub-25_sub-41_sub-53_sub-62,task_KNN_0_1322,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5989862010701211,1.0
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-18_sub-25_sub-41_sub-53_sub-62,task_KNN_0_7919,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.6099690228104759,0.8780047879841275
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-10_sub-18_sub-25_sub-41_sub-53_sub-62,task_KNN_0_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.6082793579273444,0.8937133112517627
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,KNN,sub-2_sub-11_sub-19_sub-41_sub-62_sub-63,task_KNN_24_1332,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.664637857577602,0.8946615514662852
